specObjID,z,ra,dec,objID,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,tile_name,tile_ra,tile_dec,match_status,NUMBER,X_IMAGE,Y_IMAGE,ALPHA_J2000,DELTA_J2000,MAG_AUTO,MAGERR_AUTO,MAG_BEST,MAGERR_BEST,MAG_APER,MAGERR_APER,A_WORLD,ERRA_WORLD,B_WORLD,ERRB_WORLD,THETA_J2000,ERRTHETA_J2000,ISOAREA_IMAGE,MU_MAX,FLUX_RADIUS,FLAGS
2186598006818629632,0.02683506,144.24217,31.331317,1237664880487825512,17.10278,15.523,14.95848,14.6561,14.65921,CFIS_LSB.246.243.r,144.2578066835231,31.5,Matched,6670.0,5259.0303,1730.4254,144.2421582,31.3312818,14.8385,0.0005,14.8385,0.0005,17.2417,0.0008,0.002625319,1.468624e-06,0.00171356,9.862898e-07,25.8,24.35,41323.0,19.4858,50.187,2.0
2187679925773821952,0.02220412,143.67213,32.068301,1237664869213863951,16.21086,14.72635,13.97815,13.58226,13.3309,CFIS_LSB.244.244.r,143.85976521017577,32.0,Matched,23239.0,8082.6846,6327.4492,143.6720493,32.0683611,13.8539,0.0002,13.8539,0.0002,14.963,0.0002,0.002310828,7.816687e-07,0.001325922,4.669101e-07,85.8,86.07,51401.0,16.5465,26.504,16.0
2187687347477309440,0.02267206,144.10919,31.804055,1237664667893956667,16.59625,15.34684,14.8507,14.53304,14.39392,CFIS_LSB.244.244.r,143.85976521017577,32.0,Matched,3935.0,892.7156,1207.1172,144.1091529,31.804036,14.7656,0.0004,14.7656,0.0004,16.5696,0.0004,0.002070324,1.377405e-06,0.001514457,9.92439e-07,-11.91,-13.14,42740.0,18.6891,35.128,0.0
2193302828271822848,0.02109018,148.99503,34.036574,1237664668432859140,16.80269,15.41885,14.60423,14.20365,13.87416,CFIS_LSB.247.248.r,148.96791664023232,34.0,Matched,20077.0,4565.2568,5711.2026,148.9949884,34.0366968,14.4799,0.0003,14.4799,0.0003,15.3157,0.0002,0.001373431,7.855122e-07,0.001231336,7.413226e-07,-86.08,-4.62,37181.0,17.7015,17.542,2.0
2197850957952346112,0.02069701,150.88343,33.756207,1237664880490446981,16.15652,15.10051,14.67672,14.39116,14.14447,CFIS_LSB.250.248.r,150.7772435629882,34.0,Matched,3.0,3297.0146,279.2533,150.8829404,33.7563548,14.6076,0.0004,14.6076,0.0004,16.9405,0.0005,0.002429459,1.81381e-06,0.002011319,1.432992e-06,-81.95,-80.6,47715.0,19.3557,50.25,18.0
2200152785192773632,0.02611771,154.97834,36.325744,1237664668972089347,17.229,15.75681,15.06539,14.7156,14.4314,CFIS_LSB.249.253.r,154.878319884471,36.5,Matched,5796.0,3438.0125,1624.8685,154.9783641,36.3257941,14.9773,0.0002,14.9773,0.0002,15.4127,0.0002,0.0009462376,4.519558e-07,0.0003755825,2.074926e-07,-66.4,-69.58,9173.0,16.5704,10.046,2.0
2200183846396258304,0.02591649,155.58078,36.583034,1237664668972285987,15.99346,14.43232,13.61683,13.19292,12.91651,CFIS_LSB.250.253.r,155.50032116914758,36.5,Matched,23503.0,3745.9783,6602.7495,155.5809072,36.5826785,13.4901,0.0002,13.4901,0.0002,14.9146,0.0002,0.003292825,1.408895e-06,0.002196852,9.736406e-07,3.9,1.98,119044.0,16.453,35.85,50.0
2218172681746933760,0.02344368,178.10956,40.430435,1237664669517021209,17.54982,15.82291,15.15432,14.81835,14.56239,CFIS_LSB.271.261.r,178.19428848520135,40.5,Matched,12219.0,6250.0415,3652.1316,178.1095466,40.4304159,15.1199,0.0004,15.1199,0.0004,16.0982,0.0003,0.001453296,1.032205e-06,0.001135875,8.524136e-07,-41.13,-36.88,23936.0,17.5679,21.637,0.0
2220346417577224192,0.02208552,173.8703,38.55505,1237664667368030249,17.07126,15.81838,15.33675,15.16154,15.16998,CFIS_LSB.272.257.r,173.77789741801425,38.5,Matched,21550.0,3605.7363,6063.8159,173.8699002,38.5548594,15.1929,0.0007,15.1929,0.0007,16.7994,0.0006,0.002190832,1.773279e-06,0.001653956,1.329988e-06,-73.89,-59.87,35810.0,18.1348,39.836,18.0
2224802187358267392,0.02053026,180.70753,39.433792,1237664667907260454,16.04839,14.94948,14.42345,14.17179,13.95622,CFIS_LSB.279.259.r,180.787397140126,39.5,Matched,11326.0,6195.6484,3718.7175,180.7075143,39.4338555,14.2875,0.0002,14.2875,0.0002,15.6121,0.0003,0.001506764,5.879257e-07,0.001108602,4.457839e-07,50.48,53.76,27707.0,17.5156,24.581,0.0
