tile,ra,dec,good_fraction
CFIS_LSB.195.254.r,122.083226670232,37.0,0.74490421
CFIS_LSB.198.252.r,122.37072977247918,36.0,0.78350494
CFIS_LSB.197.253.r,122.5342530812883,36.5,0.7370659
CFIS_LSB.196.254.r,122.70929449931012,37.0,0.77135921
CFIS_LSB.199.252.r,122.98876376122908,36.0,0.71755755
CFIS_LSB.074.325.r,123.04385236665247,72.5,0.69857651
CFIS_LSB.072.326.r,123.13093031399764,73.0,0.74340459
CFIS_LSB.198.253.r,123.1562543659649,36.5,0.71223219
CFIS_LSB.070.327.r,123.23277827290087,73.5,0.61247398
CFIS_LSB.197.254.r,123.33536232838824,37.0,0.73606138
CFIS_LSB.068.328.r,123.3504794704722,74.0,0.61840415
CFIS_LSB.201.251.r,123.44685457280954,35.5,0.71971401
CFIS_LSB.200.252.r,123.60679774997897,36.0,0.77451808
CFIS_LSB.199.253.r,123.77825565064148,36.5,0.75054558
CFIS_LSB.203.250.r,123.9086207592878,35.0,0.78158346
CFIS_LSB.198.254.r,123.96143015746634,37.0,0.77504489
CFIS_LSB.202.251.r,124.06101802839568,35.5,0.69246843
CFIS_LSB.201.252.r,124.22483173872888,36.0,0.67838786
CFIS_LSB.200.253.r,124.40025693531808,36.5,0.80270168
CFIS_LSB.204.250.r,124.51900805366851,35.0,0.78506538
CFIS_LSB.203.251.r,124.67518148398176,35.5,0.7202005
CFIS_LSB.075.325.r,124.70660712836398,72.5,0.54292839
CFIS_LSB.073.326.r,124.84108212391428,73.0,0.68721073
CFIS_LSB.202.252.r,124.84286572747877,36.0,0.66930713
CFIS_LSB.071.327.r,124.99324653394233,73.5,0.6046423
CFIS_LSB.205.250.r,125.12939534804924,35.0,0.67183338
CFIS_LSB.069.328.r,125.16445710974386,74.0,0.63175389
CFIS_LSB.204.251.r,125.2893449395679,35.5,0.71688703
CFIS_LSB.067.329.r,125.35624745074038,74.5,0.67701575
CFIS_LSB.203.252.r,125.46089971622864,36.0,0.67318831
CFIS_LSB.205.251.r,125.90350839515402,35.5,0.76263013
CFIS_LSB.074.326.r,126.55123393383091,73.0,0.65041227
CFIS_LSB.072.327.r,126.75371479498376,73.5,0.69925863
CFIS_LSB.070.328.r,126.97843474901552,74.0,0.52342342
CFIS_LSB.068.329.r,127.22723621866189,74.5,0.59021224
CFIS_LSB.075.326.r,128.26138574374755,73.0,0.72012044
CFIS_LSB.073.327.r,128.51418305602522,73.5,0.60043822
CFIS_LSB.071.328.r,128.79241238828718,74.0,0.35231853
CFIS_LSB.069.329.r,129.09822498658338,74.5,0.17378324
CFIS_LSB.180.272.r,129.56008856631536,46.0,0.59791601
CFIS_LSB.182.271.r,129.83135569038498,45.5,0.56509724
CFIS_LSB.076.326.r,129.97153755366418,73.0,0.68408353
CFIS_LSB.179.273.r,130.020200577294,46.5,0.75541901
CFIS_LSB.074.327.r,130.27465131706666,73.5,0.61631643
CFIS_LSB.181.272.r,130.2798668361282,46.0,0.5825341
CFIS_LSB.183.271.r,130.5447147875849,45.5,0.74767475
CFIS_LSB.072.328.r,130.6063900275588,74.0,0.45506619
CFIS_LSB.180.273.r,130.74657041292133,46.5,0.76832713
CFIS_LSB.070.329.r,130.9692137545049,74.5,0.58885904
CFIS_LSB.182.272.r,130.99964510594108,46.0,0.74495055
CFIS_LSB.215.250.r,131.23326829185652,35.0,0.77954124
CFIS_LSB.184.271.r,131.2580738847848,45.5,0.71684392
CFIS_LSB.079.325.r,131.35762617521007,72.5,0.78917272
CFIS_LSB.214.251.r,131.43097949542906,35.5,0.73093808
CFIS_LSB.181.273.r,131.47294024854867,46.5,0.81452243
CFIS_LSB.217.249.r,131.65459549516072,34.5,0.7565959
CFIS_LSB.077.326.r,131.68168936358083,73.0,0.75130476
CFIS_LSB.183.272.r,131.71942337575393,46.0,0.79324333
CFIS_LSB.226.242.r,131.82957388533234,31.0,0.78497268
CFIS_LSB.216.250.r,131.84365558623725,35.0,0.71079919
CFIS_LSB.185.271.r,131.97143298198475,45.5,0.80032777
CFIS_LSB.075.327.r,132.0351195781081,73.5,0.47166232
CFIS_LSB.215.251.r,132.04514295101518,35.5,0.78450592
CFIS_LSB.182.273.r,132.199310084176,46.5,0.74663451
CFIS_LSB.218.249.r,132.26129870020753,34.5,0.7452942
CFIS_LSB.228.241.r,132.30749983157816,30.5,0.73883116
CFIS_LSB.227.242.r,132.41289058394,31.0,0.74909468
CFIS_LSB.073.328.r,132.42036766683046,74.0,0.42725079
CFIS_LSB.184.272.r,132.4392016455668,46.0,0.78601353
CFIS_LSB.217.250.r,132.45404288061798,35.0,0.60695232
CFIS_LSB.226.243.r,132.529529717383,31.5,0.66138076
CFIS_LSB.216.251.r,132.6593064066013,35.5,0.71023687
CFIS_LSB.093.319.r,132.77846923948275,69.5,0.76735217
CFIS_LSB.071.329.r,132.84020252242638,74.5,0.663912
CFIS_LSB.219.249.r,132.86800190525437,34.5,0.75607609
CFIS_LSB.229.241.r,132.88779588347103,30.5,0.82121498
CFIS_LSB.228.242.r,132.99620728254766,31.0,0.73119918
CFIS_LSB.080.325.r,133.02038093692158,72.5,0.73246555
CFIS_LSB.218.250.r,133.0644301749987,35.0,0.74692068
CFIS_LSB.227.243.r,133.11594356569003,31.5,0.71827472
CFIS_LSB.217.251.r,133.27346986218743,35.5,0.57792533
CFIS_LSB.078.326.r,133.39184117349745,73.0,0.68500651
CFIS_LSB.230.241.r,133.46809193536393,30.5,0.56084863
CFIS_LSB.220.249.r,133.4747051103012,34.5,0.69349886
CFIS_LSB.229.242.r,133.57952398115535,31.0,0.73810305
CFIS_LSB.189.270.r,133.64318164425748,45.0,0.7813528
CFIS_LSB.219.250.r,133.67481746937943,35.0,0.567944
CFIS_LSB.228.243.r,133.70235741399702,31.5,0.68813744
CFIS_LSB.076.327.r,133.79558783914953,73.5,0.36918361
CFIS_LSB.191.269.r,133.89406219547433,44.5,0.65978278
CFIS_LSB.096.318.r,133.94054926201608,69.0,0.64553984
CFIS_LSB.188.271.r,134.11151027358449,45.5,0.56490717
CFIS_LSB.230.242.r,134.162840679763,31.0,0.73767763
CFIS_LSB.094.319.r,134.2061947151761,69.5,0.78010021
CFIS_LSB.074.328.r,134.2343453061021,74.0,0.66238759
CFIS_LSB.190.270.r,134.35028842544403,45.0,0.80552366
CFIS_LSB.092.320.r,134.49500240750197,70.0,0.76378149
CFIS_LSB.192.269.r,134.5950782279114,44.5,0.73457585
CFIS_LSB.056.336.r,134.67256165283558,78.0,0.0
CFIS_LSB.081.325.r,134.68313569863312,72.5,0.7498736
CFIS_LSB.072.329.r,134.71119129034787,74.5,0.72081898
CFIS_LSB.189.271.r,134.8248693707844,45.5,0.77066502
CFIS_LSB.191.270.r,135.05739520663056,45.0,0.81793528
CFIS_LSB.079.326.r,135.1019929834141,73.0,0.6103687
CFIS_LSB.193.269.r,135.2960942603484,44.5,0.80085082
CFIS_LSB.097.318.r,135.33576331682875,69.0,0.73845683
CFIS_LSB.054.337.r,135.42799687887518,78.5,0.0
