specObjID,z,ra,dec,objID,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,tile_name,tile_ra,tile_dec
2523309436701796352,0.02076338,195.68499,28.045349,1237667324334899203,16.72108,14.56325,13.78356,13.39415,13.23031,No tile found,,
2523309711361599488,0.02322692,195.95812,28.185732,1237667444585922609,15.18126,13.51588,12.7809,12.42234,12.18769,No tile found,,
2523309986457610240,0.01857502,195.58968,28.23077,1237667444585791502,16.7959,15.15603,14.39301,14.0177,13.7527,No tile found,,
2523310261335517184,0.01928198,195.64496,27.949119,1237667324334833870,17.36613,15.69896,14.97283,14.62602,14.38722,No tile found,,
2523310811091331072,0.02031774,195.81768,28.030416,1237667324334899420,16.46716,14.77006,14.07376,13.70728,13.47235,No tile found,,
2523311360629041152,0.02117329,195.96165,27.988379,1237667324334964812,16.88802,15.05473,14.28358,13.89039,13.64307,No tile found,,
2523311910384855040,0.02073269,195.68499,28.045349,1237667324334899203,16.72108,14.56325,13.78356,13.39415,13.23031,No tile found,,
2523312185262761984,0.01927588,195.64496,27.949119,1237667324334833870,17.36613,15.69896,14.97283,14.62602,14.38722,No tile found,,
2523314934041831424,0.02737608,195.71974,27.866593,1237667444048986134,16.9454,15.10711,14.31357,13.94612,13.6836,No tile found,,
2523314934259935232,0.02738638,195.71974,27.866593,1237667444048986134,16.9454,15.10711,14.31357,13.94612,13.6836,No tile found,,
2523315208919738368,0.02370194,195.50057,27.782728,1237667444048855291,16.98846,15.46432,14.93568,14.69899,14.48972,No tile found,,
2524319337863473152,0.02210015,195.87118,26.550506,1237667442438439114,16.3923,14.85516,14.14462,13.76458,13.50449,No tile found,,
2524325110299518976,0.02108971,196.41297,26.106568,1237667441901830228,16.77451,15.88686,15.51643,15.31214,15.30297,No tile found,,
2524353972479748096,0.02395533,195.12147,26.675356,1237667442438176777,16.74053,15.02629,14.26334,13.89085,13.62614,No tile found,,
2524356446380910592,0.02518096,195.45924,27.893564,1237667444048855252,17.09232,15.40161,14.59032,14.19228,13.91835,No tile found,,
2524358095648352256,0.01974897,195.28847,27.818327,1237667444048789720,17.29522,15.73512,14.99296,14.63981,14.48775,No tile found,,
2524359195159980032,0.01822469,195.3825,27.847525,1237667444048855141,16.12167,14.36322,13.5655,13.16448,12.95418,No tile found,,
2524359744915793920,0.02232208,195.29459,27.802908,1237667444048789721,17.21068,15.66442,14.91013,14.53384,14.31018,No tile found,,
2524361119305328640,0.02435044,195.3233,27.809092,1237667444048789764,16.33019,14.62233,13.81194,13.3989,13.11714,No tile found,,
2524367166619281408,0.02654376,195.85554,28.014005,1237667324334964901,17.41053,15.6967,14.98258,14.62731,14.29302,No tile found,,
2524369915398350848,0.02009697,195.84487,27.935978,1237667324334964884,17.514,15.84641,15.10764,14.75261,14.45644,No tile found,,
2524372114421606400,0.02588479,195.73571,28.070406,1237667324334899374,17.03066,15.45825,14.73895,14.39145,14.14185,No tile found,,
2524378986369280000,0.01980436,196.03318,27.964958,1237667324335030394,17.70125,15.69428,14.99717,14.62005,14.32962,No tile found,,
2524380635636721664,0.01876636,195.93727,28.084232,1237667324334964782,17.00329,15.14841,14.37309,13.98447,13.73255,No tile found,,
2524382284904163328,0.01980045,196.04228,28.247957,1237667444585922740,16.78308,15.11684,14.30798,13.9151,13.60925,No tile found,,
2524401251479742464,0.01837224,196.11063,27.304311,1237667443512246388,16.28463,15.36222,15.12859,14.99988,14.77706,No tile found,,
2524407023915788288,0.02237236,196.54616,27.70015,1237667444049313824,17.24759,15.65242,14.88281,14.51171,14.27444,No tile found,,
2524410597328578560,0.025315,196.57588,27.255051,1237667443512443018,17.6003,15.94696,15.17607,14.7879,14.5343,No tile found,,
2524411147084392448,0.02093789,196.65164,27.872956,1237667324335227068,16.92698,15.38967,14.81228,14.47509,14.16718,No tile found,,
2524415270252996608,0.02435262,196.80502,28.046955,1237667324335292539,16.63782,15.40878,14.88443,14.61198,14.4083,No tile found,,
2524424066346018816,0.02306341,197.03794,27.826613,1237667324335423494,17.33921,15.62731,14.87004,14.43164,14.35206,No tile found,,
2525494160014731264,0.02144641,198.21604,27.880058,1237667324335882422,17.05777,15.88188,15.25629,14.91397,14.72483,No tile found,,
2525505430008915968,0.02131665,198.36229,27.802378,1237667324335882319,15.36074,13.41436,12.57615,12.17703,11.89641,No tile found,,
2525505979764729856,0.02052569,198.35708,27.763462,1237667324335882318,16.89295,15.09984,14.17739,13.75631,13.53476,No tile found,,
2525516700003100672,0.02178789,198.75896,28.036359,1237667444586971212,17.0596,15.93087,15.39969,15.14111,14.93107,No tile found,,
2525552159253096448,0.02329107,199.43828,27.56987,1237667444050427918,15.84032,14.46843,13.78768,13.40017,13.15792,No tile found,,
2526529625106966528,0.02469081,202.39629,26.409949,1237665531707195511,17.01711,15.611,14.85585,14.44014,14.12171,No tile found,,
2526567558258124800,0.02411212,201.23446,26.463535,1237665531706802196,16.74159,15.20532,14.40916,14.00212,13.72057,No tile found,,
2526649471874394112,0.02420725,200.85259,26.543561,1237665531706605713,17.1049,15.66242,15.07275,14.77689,14.55532,No tile found,,
2527681920221865984,0.02504776,203.16232,25.441187,1237665530633846805,16.56907,15.19446,14.42756,14.01882,13.75442,No tile found,,
2527786098948597760,0.0258697,203.72556,26.206291,1237665531707785219,16.25165,14.43004,13.60699,13.18222,12.8823,No tile found,,
2568203588291553280,0.02036204,133.53619,17.42999,1237667429553733694,16.52931,14.73361,13.9301,13.53217,13.28273,No tile found,,
2572688770696505344,0.02786729,137.31522,18.855055,1237667429555437686,17.08932,15.82541,15.2377,14.8877,14.70792,No tile found,,
2572688770914609152,0.02787568,137.31522,18.855055,1237667429555437686,17.08932,15.82541,15.2377,14.8877,14.70792,No tile found,,
2573815770333079552,0.0261643,138.76158,19.697103,1237667430092963901,15.94194,14.64362,14.1585,13.90083,13.7375,No tile found,,
792751219155167232,0.02497962,35.418841,0.25525964,1237657071162622114,17.09706,15.25896,14.42125,14.024,13.73449,No tile found,,
792802346445858816,0.02499236,37.040443,0.79904911,1237657587096289353,16.52437,14.72112,13.92374,13.55757,13.30627,No tile found,,
793902682623469568,0.02074403,38.042886,1.2474587,1237678437015617837,17.57595,15.87405,15.0756,14.68563,14.40173,No tile found,,
793913952617654272,0.02248654,38.20404,1.163838,1237678437015748765,16.98713,15.97477,15.60152,15.42819,15.28482,No tile found,,
794987350827493376,0.02198454,39.098586,0.70863047,1237657587097206934,16.21792,15.00958,14.3679,14.02558,13.80922,No tile found,,
795060743228647424,0.02669437,40.88045,0.30682162,1237666408460320827,15.99133,14.16969,13.31166,12.83462,12.58246,No tile found,,
1398474660475070464,0.02486536,56.940576,0.68673907,1237666301632249933,17.37291,15.55758,14.54404,14.01561,13.6848,No tile found,,
1474936075674740736,0.02122416,175.57044,56.715177,1237657611265114252,17.19158,15.93544,15.4232,15.21086,14.93448,No tile found,,
1474985553697990656,0.02071764,173.08079,55.922775,1237657610727588070,16.97832,15.77261,15.18578,14.84916,14.6304,No tile found,,
1475007818808453120,0.01877604,171.92675,55.921159,1237657610727325892,16.76518,15.89791,15.55701,15.39078,15.33177,No tile found,,
1476064444986451968,0.01838097,177.85885,56.407444,1237657610728767577,16.50175,15.43357,15.04095,14.83847,14.64048,No tile found,,
1478387713475373056,0.01820789,177.81477,56.399214,1237657610728767535,17.42899,15.7407,15.03441,14.69785,14.43103,No tile found,,
1478427295893972992,0.01907531,178.71899,57.302184,1237657611802771476,16.81327,15.72004,15.16865,14.90028,14.6679,No tile found,,
1479445993450661888,0.02633704,182.43863,56.523598,1237657610729881642,15.91839,14.22875,13.47554,13.13298,12.95883,No tile found,,
1479447647046625280,0.02631989,182.43863,56.523598,1237657610729881642,15.91839,14.22875,13.47554,13.13298,12.95883,No tile found,,
8716894235641796608,0.02358748,4.705875,30.061721,1237680332715720831,17.0928,15.41122,14.59605,14.1555,13.80242,CFIS_LSB.008.240.r,4.618802153517006,30.0
8716896709542959104,0.02356349,4.799953,30.01406,1237680332715720926,17.37343,15.74345,14.95462,14.58656,14.28718,CFIS_LSB.008.240.r,4.618802153517006,30.0
8716904681002260480,0.02393395,4.831898,30.091293,1237680332715720964,17.50125,15.9251,15.13741,14.74229,14.42042,CFIS_LSB.008.240.r,4.618802153517006,30.0
472928294921070592,0.01824617,13.11632,14.518288,1237649919501795401,16.79988,15.31524,14.85035,14.56844,14.45062,No tile found,,
474121539076253696,0.0182923,14.917142,15.330978,1237649920576258107,15.89112,14.35187,13.58218,13.15511,12.89989,No tile found,,
477391212987312128,0.02361389,21.855022,14.054543,1237649919505530901,17.23467,15.37781,14.51093,14.08786,13.7568,No tile found,,
477479723673348096,0.02292254,19.691053,14.993254,1237649920578289724,15.5883,14.29092,13.71206,13.37994,13.16669,No tile found,,
477541846080317440,0.02124841,21.305243,14.872481,1237649920579010661,15.83925,14.82968,14.25343,13.95053,13.80428,No tile found,,
478541301998970880,0.02070201,22.754515,13.054316,1237678860628787281,17.20394,15.55979,14.74376,14.33088,14.04866,No tile found,,
478541851989665792,0.01963193,22.769829,13.649664,1237649918969053201,17.18606,15.32368,14.41803,13.96282,13.64105,No tile found,,
478542676623386624,0.02069257,22.754515,13.054316,1237678860628787281,17.20394,15.55979,14.74376,14.33088,14.04866,No tile found,,
478543501022226432,0.019646,22.769829,13.649664,1237649918969053201,17.18606,15.32368,14.41803,13.96282,13.64105,No tile found,,
478612770254776320,0.02162235,21.879297,14.819811,1237649920579207262,16.68893,15.49594,14.97722,14.7142,14.53306,No tile found,,
478612770489657344,0.02161118,21.879297,14.819811,1237649920579207262,16.68893,15.49594,14.97722,14.7142,14.53306,No tile found,,
478638059022215168,0.02163493,22.420421,14.505098,1237649920042598429,16.95948,15.58988,14.94133,14.60693,14.36397,No tile found,,
478638609012910080,0.02162328,22.420421,14.505098,1237649920042598429,16.95948,15.58988,14.94133,14.60693,14.36397,No tile found,,
479757911581550592,0.02774537,24.716439,15.049685,1237649921117323417,17.16635,15.51187,14.66363,14.23161,13.93977,No tile found,,
479759285971085312,0.02790074,24.728184,15.021589,1237649921117323295,16.41124,14.72656,13.85951,13.41113,13.16478,No tile found,,
480777159162488832,0.0269651,31.332839,13.258528,1237649919509528682,17.82332,15.93969,15.02015,14.57781,14.22053,No tile found,,
481970403871320064,0.02469433,31.37202,13.251016,1237649919509594232,17.54833,15.30767,14.43481,14.00302,14.19238,No tile found,,
481980299475970048,0.02582658,31.323093,13.505728,1237670961617895518,16.39203,15.30854,14.62541,14.31605,13.92933,No tile found,,
482008611900385280,0.02651437,32.878224,14.30053,1237670458034815241,17.12685,15.23149,14.32914,13.90065,13.59321,No tile found,,
482009436534106112,0.02539334,32.880999,14.200674,1237670458034749647,17.45626,15.8457,15.0601,14.67161,14.39152,No tile found,,
482017682871314432,0.02650658,32.889832,13.917156,1237649920583925795,16.32912,15.08684,14.44751,14.10273,13.84129,No tile found,,
483026208854927360,0.02624274,27.298427,12.853245,1237649918434148365,16.78012,14.78697,13.79877,13.29954,12.94495,No tile found,,
483086407116548096,0.02753818,25.861115,13.320281,1237649918970363988,17.82838,15.8105,14.93933,14.50959,14.19637,No tile found,,
484168877270394880,0.02128946,28.748258,13.482972,1237649919508480119,17.46453,15.71396,14.84791,14.37302,13.97845,No tile found,,
484176848729696256,0.02071127,28.601663,13.541124,1237649919508414482,16.7481,15.0106,14.166,13.71605,13.42651,No tile found,,
484197464572717056,0.02617838,28.185038,13.192586,1237649918971347047,16.94665,15.65113,14.98542,14.61835,14.37206,No tile found,,
484293122084333568,0.02603042,29.304042,14.735458,1237649921119223868,17.19403,15.46406,14.65418,14.23826,13.93439,No tile found,,
484312638415726592,0.02613903,29.567638,14.296652,1237649920582484073,16.68192,14.91846,14.06189,13.63616,13.35462,No tile found,,
580968234061162496,0.02082211,181.08334,1.5676392,1237651735220584539,15.9252,14.05249,13.15954,12.67222,12.29545,No tile found,,
580983352346044416,0.01895946,180.9068,2.0469335,1237651735757389827,16.3012,14.47525,13.63435,13.22655,12.94468,No tile found,,
