targetid,z,zerr,spectype,ra,dec,flux_g,flux_r,flux_z
39633221402493177,0.02265481875282486,4.818058179617789e-05,GALAXY,278.4300890144311,48.15016559860776,14.239991,29.40729,46.119106
39633221398303912,0.02358411238298292,6.860513141197067e-05,GALAXY,278.3978627043236,48.27380431192542,15.04979,31.682224,50.852287
39633241312855587,0.02695080051562262,4.411572654757366e-05,GALAXY,279.1129244125742,49.43784596283844,14.981899,25.629349,29.350203
39633256915667599,0.0269334463389335,2.354090998742821e-06,GALAXY,282.3070607777086,50.48348271873427,13.10862,15.452419,15.990475
39633264545105414,0.02530866778904395,2.64566733476199e-06,GALAXY,279.3996884960675,50.94931791419666,15.258261,20.049309,20.783731
39633175802025015,0.02345064745740883,2.065495436489106e-05,GALAXY,270.6877635745189,45.52029303285457,13.530833,18.711285,19.931183
39633249122649042,0.02431059715289753,6.757789308136444e-06,GALAXY,277.6149971554238,50.05864016442495,14.511639,24.254414,32.79529
39633233356260904,0.02283846296142988,6.049035130769423e-06,GALAXY,274.2944816578224,49.05365573399597,15.246587,20.599798,22.858173
39633286959467606,0.02797655511936538,6.158481069899846e-06,GALAXY,272.6937459821527,52.59771055692268,14.187575,25.68765,35.697334
39633294282723564,0.02760203386177427,4.25553975266852e-06,GALAXY,271.8212945164577,53.00226809791067,14.942659,21.824306,22.640795
39633294374996357,0.02772892817126039,6.102485560938719e-06,GALAXY,280.7138776419904,53.11439465117554,15.476117,25.458982,34.17807
39633294374996357,0.02772188459679431,2.416859027675109e-06,GALAXY,280.7138776419904,53.11439465117554,15.476117,25.458982,34.17807
39633326314620657,0.02453938000639033,4.756350422494962e-06,GALAXY,281.0732926798352,55.19288215578586,14.845541,19.704472,21.821934
39633388004444999,0.02485824636975224,3.754344689016256e-06,GALAXY,291.1283240070612,60.11666585899305,15.0717745,20.715715,23.131205
39633387987668095,0.02490204183588178,2.001731176285184e-05,GALAXY,289.1875009350819,60.10573019803348,14.750838,26.104612,36.123512
39633405754738451,0.02373392201575607,2.151444627798457e-05,GALAXY,290.7666254352673,61.57928104312739,15.797101,24.962246,30.203356
39633378747614723,0.02594556973808277,6.304687675003528e-05,GALAXY,283.2661133644827,59.27553951165963,13.815581,25.530617,34.178696
39633414277565749,0.02491664168712522,5.364975989301781e-06,GALAXY,285.0396248883796,62.34181411323425,14.600725,22.544565,29.308321
39633294349828833,0.02771886661352388,1.698574543343458e-05,GALAXY,278.1258426074252,52.95357904771977,13.637122,21.782162,27.931944
39633326302037386,0.02533798398833722,9.413224517563505e-06,GALAXY,279.7058987240205,55.19435093592086,14.349315,22.274916,23.975737
39633333163921103,0.01958794145868582,2.097567671910211e-06,GALAXY,279.8089511359545,55.64091297182429,14.002725,19.403881,12.626145
39633333138753482,0.02663999752081963,2.007584265363634e-06,GALAXY,277.0315519319861,55.85066776451804,13.087703,17.882843,21.050997
39633336531945346,0.02663976833649708,7.34425267749916e-06,GALAXY,276.8614363082253,55.90973787893762,14.890168,19.28343,22.08929
39633308719514320,0.0183091420384659,9.983409158442432e-06,GALAXY,273.6605796227347,54.05552707694952,13.756207,16.160496,16.751047
39633339891581193,0.02677455519230507,1.590125234153875e-05,GALAXY,274.9446032058584,56.1871566815577,13.254188,19.165932,22.824986
39633417003861227,0.02649270264304581,2.679701108342688e-06,GALAXY,274.4749533810237,62.45595976972615,14.522456,18.966848,22.215036
39633402705480026,0.02621343371142013,3.328746165438025e-06,GALAXY,272.3729478041961,61.29805255745215,14.402662,25.737825,37.044796
39633405612130475,0.02643457207862204,9.529226317205065e-06,GALAXY,272.8842850392,61.39817867002975,13.96458,25.631075,34.89904
39633402709672057,0.02728128249065071,3.293673667994353e-06,GALAXY,272.5962513775763,61.36626065022084,13.389307,25.361319,34.202026
39633405607938472,0.02713805802137291,8.805460341481807e-06,GALAXY,272.5895469836584,61.46387751634324,14.43803,23.970963,33.04434
39633405607938472,0.02713822291161668,1.170380978183897e-05,GALAXY,272.5895469836584,61.46387751634324,14.43803,23.970963,33.04434
39633408489424715,0.02769192567401352,7.849360253175197e-05,GALAXY,272.5386186274588,61.8258207113266,13.942669,27.657185,42.894398
39633408489424715,0.02757371133936909,4.893435741554478e-05,GALAXY,272.5386186274588,61.8258207113266,13.942669,27.657185,42.894398
