targetid,z,zerr,spectype,ra,dec,flux_g,flux_r,flux_z,tile_name,tile_ra,tile_dec
39633221402493177,0.022654819,4.818058179617789e-05,GALAXY,278.4300890144311,48.15016559860776,14.239991,29.40729,46.119106,No tile found,,
39633221398303912,0.023584112,6.860513141197067e-05,GALAXY,278.3978627043236,48.27380431192542,15.04979,31.682224,50.852287,No tile found,,
39633241312855587,0.026950801,4.411572654757366e-05,GALAXY,279.1129244125742,49.43784596283844,14.981899,25.629349,29.350203,No tile found,,
39633256915667599,0.026933446,2.354090998742821e-06,GALAXY,282.3070607777086,50.48348271873427,13.10862,15.452419,15.990475,No tile found,,
39633264545105414,0.025308668,2.64566733476199e-06,GALAXY,279.3996884960675,50.94931791419666,15.258261,20.049309,20.783731,No tile found,,
39633175802025015,0.023450647,2.065495436489106e-05,GALAXY,270.6877635745189,45.52029303285457,13.530833,18.711285,19.931183,CFIS_LSB.379.271.r,270.36309783876874,45.5
39633249122649042,0.024310597,6.757789308136444e-06,GALAXY,277.6149971554238,50.05864016442495,14.511639,24.254414,32.79529,No tile found,,
39633233356260904,0.022838463,6.049035130769423e-06,GALAXY,274.2944816578224,49.05365573399597,15.246587,20.599798,22.858173,CFIS_LSB.360.278.r,274.3655556070466,49
39633286959467606,0.027976555,6.158481069899846e-06,GALAXY,272.6937459821527,52.59771055692268,14.187575,25.68765,35.697334,CFIS_LSB.332.285.r,272.6848188629605,52.5
39633294282723564,0.027602034,4.25553975266852e-06,GALAXY,271.8212945164577,53.00226809791067,14.942659,21.824306,22.640795,CFIS_LSB.327.286.r,271.6781631,53
39633294374996357,0.027728928,6.102485560938719e-06,GALAXY,280.7138776419904,53.11439465117554,15.476117,25.458982,34.17807,No tile found,,
39633294374996357,0.027721885,2.416859027675109e-06,GALAXY,280.7138776419904,53.11439465117554,15.476117,25.458982,34.17807,No tile found,,
39633326314620657,0.02453938,4.756350422494962e-06,GALAXY,281.0732926798352,55.19288215578586,14.845541,19.704472,21.821934,No tile found,,
39633388004444999,0.024858246,3.754344689016256e-06,GALAXY,291.1283240070612,60.11666585899305,15.0717745,20.715715,23.131205,No tile found,,
39633387987668095,0.024902042,2.001731176285184e-05,GALAXY,289.1875009350819,60.10573019803348,14.750838,26.104612,36.123512,No tile found,,
39633405754738451,0.023733922,2.151444627798457e-05,GALAXY,290.7666254352673,61.57928104312739,15.797101,24.962246,30.203356,No tile found,,
39633378747614723,0.02594557,6.304687675003528e-05,GALAXY,283.2661133644827,59.27553951165963,13.815581,25.530617,34.178696,No tile found,,
39633414277565749,0.024916642,5.364975989301781e-06,GALAXY,285.0396248883796,62.34181411323425,14.600725,22.544565,29.308321,No tile found,,
39633294349828833,0.027718867,1.698574543343458e-05,GALAXY,278.1258426074252,52.95357904771977,13.637122,21.782162,27.931944,CFIS_LSB.335.286.r,278.3247236380159,53
39633326302037386,0.025337984,9.413224517563505e-06,GALAXY,279.7058987240205,55.19435093592086,14.349315,22.274916,23.975737,No tile found,,
39633333163921103,0.019587941,2.097567671910211e-06,GALAXY,279.8089511359545,55.64091297182429,14.002725,19.403881,12.626145,No tile found,,
39633333138753482,0.026639998,2.007584265363634e-06,GALAXY,277.0315519319861,55.85066776451804,13.087703,17.882843,21.050997,CFIS_LSB.310.292.r,277.1852057455671,56
39633336531945346,0.026639768,7.34425267749916e-06,GALAXY,276.8614363082253,55.90973787893762,14.890168,19.28343,22.08929,CFIS_LSB.310.292.r,277.1852057455671,56
39633308719514320,0.018309142,9.983409158442432e-06,GALAXY,273.6605796227347,54.05552707694952,13.756207,16.160496,16.751047,CFIS_LSB.322.288.r,273.9095602893569,54
39633339891581193,0.026774555,1.590125234153875e-05,GALAXY,274.9446032058584,56.18715668,13.254188,19.165932,22.824986,CFIS_LSB.307.292.r,274.50276827061003,56
39633417003861227,0.026492703,2.679701108342688e-06,GALAXY,274.4749533810237,62.45595976972615,14.522456,18.966848,22.215036,CFIS_LSB.253.305.r,273.95859213032526,62.5
39633402705480026,0.026213434,3.328746165438025e-06,GALAXY,272.3729478041961,61.29805255745215,14.402662,25.737825,37.044796,CFIS_LSB.260.303.r,272.4460092260922,61.5
39633405612130475,0.026434572,9.529226317205065e-06,GALAXY,272.884285,61.39817867002975,13.96458,25.631075,34.89904,CFIS_LSB.260.303.r,272.4460092260922,61.5
