# PGC,Common,RAdeg,DEdeg,GLON,GLAT,SGL,SGB,T,Bmag,Ksmag,logK,Vh,VLS,D,e_D,PGC1,Primary,tile,dec,ra,GroupID,GroupSize,Separation,ra_diff,dec_diff,NUMBER,X_IMAGE,Y_IMAGE,ALPHA_J2000,DELTA_J2000,MAG_AUTO,MAGERR_AUTO,MAG_BEST,MAGERR_BEST,MAG_APER,MAGERR_APER,A_WORLD,ERRA_WORLD,B_WORLD,ERRB_WORLD,THETA_J2000,ERRTHETA_J2000,ISOAREA_IMAGE,MU_MAX,FLUX_RADIUS,FLAGS,separation_arcsec
34325,NGC3595,168.8565,47.4471,159.2749,62.3412,64.412,-4.2797,-1.9,12.74,9.52,10.46,2199,2255,,,34325,0,CFIS_LSB.228.275.r,47.5,168.74134455313776,,,338.79899891673927,0.1151554468622464,0.0528984069824218,13363,3314.3787,3590.8162,168.8699159,47.427211,99.0,99.0,99.0,99.0,99.0,99.0,3.975301E-5,1.742517E-5,2.293907E-5,1.005674E-5,18.02,18.55,4,25.855,-18.084,0,78.70087160647476
49663,UGC08892,209.4213,57.001,105.9506,57.8896,60.7918,21.6327,9.9,15.16,13.2,8.84,1738,1897,,,49663,0,CFIS_LSB.228.294.r,57.0,209.3129443005396,,,212.48066686941283,0.1083556994604464,9.994506835937E-4,21184,3862.5063,5030.6533,209.4207217,57.0015355,15.054,6.0E-4,14.6594,5.0E-4,18.504,0.0014,0.004814096,3.306921E-6,0.003432365,2.398275E-6,16.89,3.75,107479,20.5948,94.633,51,2.236513686581368
54234,NGC5894,227.9206,59.8089,96.5168,49.5064,55.2909,30.3909,7.8,11.93,9.05,10.79,2463,2663,39.81,14.0,54234,0,CFIS_LSB.228.300.r,60.0,228.0,,,702.7363176504734,0.0793999999999357,0.19110107421875,4549,5775.3311,1284.9517,227.9204433,59.8082715,13.5065,2.0E-4,13.5065,2.0E-4,99.0,99.0,0.009631908,1.088545E-6,0.001821309,2.581923E-7,13.78,13.91,242692,17.0125,217.685,50,2.2803155675954403
25273,PGC025273,135.0549,31.9991,192.6247,40.0737,58.4062,-33.6477,1.3,14.88,12.24,9.23,1929,1890,,,25273,0,CFIS_LSB.229.244.r,32.0,135.01592718496005,556.0,2.0,119.02767301573007,0.0389728150399548,9.002685546875E-4,18147,4467.9893,4943.1182,135.0482981,31.9970606,99.0,99.0,22.559,0.0332,99.0,99.0,6.334355E-5,1.341617E-5,5.421367E-5,1.133015E-5,-45.62,-45.84,13,24.4574,-39.203,1,21.451357007013737
26189,NGC2793,139.1943,34.4317,190.0529,43.8489,59.817,-29.5903,8.7,13.02,11.55,9.38,1684,1657,,,26189,0,CFIS_LSB.229.249.r,34.5,138.9350339557226,566.0,2.0,807.8451849120785,0.2592660442774104,0.06829833984375,17170,820.4681,3697.0122,139.196521,34.4324845,17.4717,0.001,17.6555,0.0011,17.4759,0.001,3.238569E-4,2.573727E-7,2.327865E-4,1.853804E-7,56.65,55.52,394,19.079,7.474,3,7.174035406211504
32290,PGC032290,162.0668,45.2058,168.3396,59.569,63.8792,-9.4471,3.9,14.93,13.13,9.35,3285,3323,,,32290,0,CFIS_LSB.229.270.r,45.0,161.92745289171938,,,821.1406823850186,0.1393471082806172,0.2057991027832031,31195,3101.5867,8987.7803,162.066492,45.2056936,15.2301,5.0E-4,15.2301,5.0E-4,17.2048,7.0E-4,0.002492958,1.393321E-6,7.660043E-4,5.376796E-7,88.65,88.76,21667,19.7758,38.153,18,0.8700709970892381
2530610,PGC2530610,205.1245,56.2488,109.4535,59.5772,61.6991,19.3029,9.0,16.85,14.4,8.79,2974,3123,,,2530610,0,CFIS_LSB.229.292.r,56.0,204.75939392172532,,,1157.1363151824305,0.3651060782746356,0.2487983703613281,33294,1069.121,9832.0439,205.1244863,56.2488059,16.2365,0.001,16.2365,0.001,17.3398,8.0E-4,0.001266389,1.719525E-6,9.725094E-4,1.336351E-6,-31.63,-31.34,14618,19.9587,21.523,8,0.0346696440949121
57611,PGC057611,243.7617,61.7819,93.4194,41.8495,48.5026,35.965,2.1,14.74,11.5,9.96,2942,3174,,,57611,0,CFIS_LSB.229.304.r,62.0,243.8912366076992,,,815.326767023451,0.1295366076991797,0.2181015014648437,1386,6186.0947,777.1407,243.7617922,61.7820307,13.8999,1.0E-4,13.8999,1.0E-4,14.7133,2.0E-4,0.00143146,4.402781E-7,0.001052016,3.893121E-7,-58.61,-75.06,37293,16.6145,17.256,2,0.4960036136533362
25063,PGC025063,133.8884,31.2117,193.3874,38.9507,58.0068,-34.8718,1.2,15.21,11.65,9.5,2032,1990,,,25063,0,CFIS_LSB.230.242.r,31.0,134.162840679763,,,1138.6051529275046,0.2744406797630176,0.211700439453125,31981,9549.4941,9108.1953,133.8883483,31.2117001,14.4574,2.0E-4,14.4574,2.0E-4,15.0974,2.0E-4,9.750154E-4,3.601036E-7,6.538408E-4,2.531188E-7,66.64,68.14,15391,17.4865,14.405,0,0.1591811114615902
25806,NGC2770,137.3903,33.1235,191.57,42.1967,59.4331,-31.5525,5.3,11.61,9.56,10.3,1934,1900,25.7,14.0,25806,0,CFIS_LSB.230.246.r,33.0,137.12177867613394,450.0,2.0,924.1335018613768,0.2685213238660537,0.1235008239746093,30981,656.6172,7416.2104,137.3893978,33.1243959,12.9874,2.0E-4,12.9874,2.0E-4,99.0,99.0,0.01232202,1.523359E-6,0.003223492,4.458372E-7,-34.09,-33.21,407982,18.9063,203.944,50,4.219138155118133
