# PGC,Common,RAdeg,DEdeg,GLON,GLAT,SGL,SGB,T,Bmag,Ksmag,logK,Vh,VLS,D,e_D,PGC1,Primary,tile,dec,ra,GroupID,GroupSize,Separation,ra_diff,dec_diff,NUMBER,X_IMAGE,Y_IMAGE,ALPHA_J2000,DELTA_J2000,MAG_AUTO,MAGERR_AUTO,MAG_BEST,MAGERR_BEST,MAG_APER,MAGERR_APER,A_WORLD,ERRA_WORLD,B_WORLD,ERRB_WORLD,THETA_J2000,ERRTHETA_J2000,ISOAREA_IMAGE,MU_MAX,FLUX_RADIUS,FLAGS,separation_arcsec
45802,PGC045802,197.9292,35.9607,98.1585,80.1717,82.2155,12.4579,4.8,16.88,13.48,8.24,1136,1182,,,45749,53,CFIS_LSB.320.252.r,36.0,197.7708763999664,,,482.4366564749629,0.1583236000336683,0.0392990112304687,16571,2523.4976,4240.8892,197.9287588,35.9607247,16.0949,0.0021,16.0949,0.0021,18.0792,0.0015,0.002235709,3.486287E-6,0.001195772,1.972945E-6,-72.92,-71.16,22558,21.1965,37.29,16,1.2886891483545526
39437,NGC4245,184.4031,29.6079,192.5218,82.1594,85.5293,-0.1273,0.1,12.14,8.41,9.98,869,855,,,40692,-1255,CFIS_LSB.321.239.r,29.5,184.4073644243525,,,388.6717241447882,0.0042644243524705,0.1079006195068359,22852,5068.3843,7094.3267,184.4033057,29.608072,13.3058,6.0E-4,13.3058,6.0E-4,99.0,99.0,0.009560904,1.501086E-6,0.007876516,1.190831E-6,-6.44,-4.14,1111459,16.616,440.833,112,0.8932649980301273
40011,NGC4308,185.4869,30.0743,186.7254,82.8904,85.3753,0.9107,-4.8,14.02,10.73,9.05,636,627,,,40692,-681,CFIS_LSB.321.240.r,30.0,185.32943640986983,701.0,2.0,558.902222304345,0.1574635901301349,0.0743007659912109,21843,2359.6719,6441.6953,185.4868787,30.074301,13.2052,2.0E-4,13.2052,2.0E-4,14.6746,2.0E-4,0.002357971,6.405874E-7,0.002162741,5.793165E-7,4.92,2.77,93527,16.4716,37.28,0,0.0664546350028933
40062,UGC07438,185.5812,30.0615,186.5651,82.9706,85.4123,0.9846,8.0,14.84,13.34,8.01,693,684,,,40692,-630,CFIS_LSB.321.240.r,30.0,185.32943640986983,701.0,2.0,815.3145528502323,0.2517635901301389,0.0615005493164062,21404,779.5055,6202.0869,185.5810713,30.0617909,14.5309,6.0E-4,14.5309,6.0E-4,17.4807,8.0E-4,0.005527091,3.645385E-6,0.001835425,1.238589E-6,4.34,4.16,95448,20.0424,73.913,50,1.1213877747617575
42620,NGC4627,190.4992,32.5736,142.9565,84.1832,84.1818,5.7224,-4.7,12.93,8.8,9.66,542,555,9.29,13.0,42637,-17,CFIS_LSB.321.245.r,32.5,190.3030921131828,705.0,3.0,651.4946341054302,0.1961078868172023,0.0736007690429687,29042,1637.7705,6669.0645,190.5090042,32.5859597,14.4544,0.0011,14.5665,6.0E-4,19.6151,0.0042,0.00965269,6.696885E-6,0.00255691,1.889475E-6,88.19,87.53,132403,16.5322,150.226,153,53.51948188467782
42413,PGC042413,190.0419,32.6588,146.0716,83.9549,83.9983,5.3727,10.0,,15.14,7.13,776,789,,,42637,-224,CFIS_LSB.321.245.r,32.5,190.3030921131828,705.0,3.0,977.0368919282208,0.2611921131828012,0.1587982177734375,34969,9269.9131,8080.6167,190.0413795,32.6586951,15.7524,0.0018,15.7524,0.0018,19.0422,0.003,0.003448444,4.476524E-6,0.001891736,2.611419E-6,-2.78,-3.79,40983,21.5136,74.277,18,1.6221221315168357
45927,UGC08303,198.3231,36.2176,97.2364,79.7953,82.0151,12.8172,9.9,13.27,11.2,9.15,944,992,,,45749,178,CFIS_LSB.321.252.r,36.0,198.38891038871623,,,806.4110773161968,0.0658103887162155,0.2176017761230468,29701,6050.9277,9213.208,198.3216927,36.2173916,13.8271,5.0E-4,14.1204,4.0E-4,18.4222,0.0017,0.005314297,3.557315E-6,0.004146766,2.538376E-6,67.54,72.78,115942,19.7428,115.488,51,4.155656168735234
39724,NGC4274,184.9606,29.6143,191.4008,82.6209,85.6737,0.3355,1.7,10.86,7.12,10.5,930,917,,,40692,-968,CFIS_LSB.322.239.r,29.5,184.98184219514485,700.0,4.0,416.8213651208613,0.0212421951448504,0.1142997741699218,22889,5356.6768,7219.2559,184.9606713,29.614517,10.984,1.0E-4,10.984,1.0E-4,99.0,99.0,0.01842918,1.415714E-6,0.006684938,4.935449E-7,-79.5,-78.45,1659895,16.3037,268.121,112,0.812446547717678
39764,NGC4278,185.0283,29.2806,193.7839,82.7727,86.0092,0.2888,-4.8,10.9,7.26,10.44,649,635,15.35,13.0,40692,-928,CFIS_LSB.322.239.r,29.5,184.98184219514485,700.0,4.0,803.1715899150312,0.0464578048551516,0.219400405883789,4420,4242.1973,757.6677,185.0266745,29.2810793,13.3895,0.0012,9.9242,1.0E-4,99.0,99.0,0.01050831,9.469034E-7,0.0082857,6.848801E-7,5.87,2.52,1470026,16.2469,945.004,125,5.387898325839194
39800,NGC4283,185.0866,29.3108,193.4428,82.8135,85.9961,0.3465,-4.8,12.87,9.18,9.67,984,970,15.78,13.0,40692,-892,CFIS_LSB.322.239.r,29.5,184.98184219514485,700.0,4.0,756.2150701963969,0.1047578048551542,0.1891994476318359,4402,3326.9839,1253.4207,185.0808442,29.3066319,11.8728,2.0E-4,11.4784,2.0E-4,99.0,99.0,0.01500185,2.942178E-6,0.006901141,1.491958E-6,35.94,27.96,773007,16.2938,139.102,113,23.48670936588012
