# PGC,Common,RAdeg,DEdeg,GLON_1,GLAT_1,SGL_1,SGB_1,T,Bmag,Ksmag_1,logK_1,Vh_1,VLS_1,D_1,e_D_1,eabs_D_1,Deff,eDeff,LMS,Mhcorbest,Rvirbest,thetavbest,tile,dec,ra,Separation
25248,NGC2712                      1,134.8768,44.914,175.6469,41.0028,49.9009,-23.1058,3.1,12.29,9.28,10.4,1815,1847,31.19,14.0,4.3666,31.19,4.3666,10.59203075,12.12091403,274.3119232,0.503909226,CFIS_LSB.191.270.r,45.0,135.05739520663056,554.5346326360071
25448,UGC04739                     1,135.9516,69.4872,144.405,36.6802,37.2172,-1.8263,3.8,14.53,10.88,9.96,2200,2360,-99.9,-99.9,99.8001,33.71428571,10.11428571,10.01962793,11.57165312,179.9524302,0.305820611,CFIS_LSB.095.319.r,69.5,135.63392019086947,403.27511740204113
25806,NGC2770                      1,137.3903,33.1235,191.57,42.1967,59.4331,-31.5525,5.3,11.61,9.56,10.3,1934,1900,25.7,14.0,3.598,25.7,3.598,10.31186625,11.78018857,211.1881428,0.470824883,CFIS_LSB.230.246.r,33.0,137.12177867613394,924.1335018613768
25946,NGC2776                      1,138.0605,44.9549,175.4882,43.2537,51.8915,-21.8034,5.2,11.5,9.35,10.66,2619,2651,-99.9,-99.9,99.8001,37.87142857,11.36142857,10.73262338,12.37751974,334.0257296,0.505348793,CFIS_LSB.195.270.r,45.0,137.88582233137674,473.536987382366
25955,NGC2778                      1,138.1017,35.0274,189.104,43.0203,58.5834,-29.6985,-4.8,13.23,9.6,10.33,2049,2026,23.23,13.0,3.0199,23.23,3.0199,10.20809842,11.694838,197.7968364,0.487857662,CFIS_LSB.226.250.r,35.0,137.94752853004454,465.14731213602334
25999,NGC2732                      1,138.3531,79.1874,133.4267,33.013,32.6081,6.7358,-2.0,12.73,8.99,10.65,1960,2164,-99.9,-99.9,99.8001,30.91428571,9.274285714,10.70031843,12.31016393,317.1962075,0.587884174,CFIS_LSB.053.338.r,79.0,138.8823412004479,764.9058200980319
26034,NGC2782                      1,138.5211,40.1138,182.1509,43.6777,55.3399,-25.4883,1.1,12.1,8.99,10.79,2543,2548,-99.9,-99.9,99.8001,36.4,10.92,10.84220277,12.60599277,398.0499728,0.62655502,CFIS_LSB.212.260.r,40.0,138.37317266922153,577.9116383408954
26232,NGC2798                      1,139.345,41.9991,179.53,44.298,54.6174,-23.6152,1.1,12.53,9.15,10.37,1726,1741,-99.9,-99.9,99.8001,24.87142857,7.461428571,10.44740146,11.92098362,235.2887787,0.542030199,CFIS_LSB.207.264.r,42.0,139.27298751425994,192.68515774686205
26246,UGC04906                     1,139.417,52.9934,164.3928,43.0948,47.7273,-14.7468,1.1,15.29,9.46,10.52,2274,2349,36.64,18.0,6.5952,36.64,6.5952,10.65991093,12.23596736,299.6372449,0.46855797,CFIS_LSB.168.286.r,53.0,139.57777185428856,349.1534825218742
26295,IC0529                       1,139.6365,73.7599,138.9917,35.9307,35.8931,2.3968,5.2,11.94,9.93,10.37,2262,2442,29.51,14.0,4.1314,29.51,4.1314,10.28393842,11.75559417,207.2389578,0.402369626,CFIS_LSB.077.328.r,74.0,139.67627822391705,865.2633130040829
