Unnamed: 0_1,tile_1,total_count_1,N_cut_1,good_count_1,good_fraction_1,N_cut_masked_1,normalized_N_1,ra_1,dec_1,Unnamed: 0_2,tile_2,total_count_2,N_cut_2,good_count_2,good_fraction_2,N_cut_masked_2,normalized_N_2,ra_2,dec_2,Unnamed: 0,tile,total_count,N_cut,good_count,good_fraction,N_cut_masked,normalized_N,ra,dec
60,CFIS_LSB.413.250.r,43194,8675,32725,0.757628374311247,6568,8669.157891520244,252.08995257924067,35.0,60,CFIS_LSB.413.250.r,43194,30,32725,0.757628374311247,19,25.078258212375857,252.08995257924067,35.0,60,CFIS_LSB.413.250.r,43194,2704,32725,0.757628374311247,2071,2733.5301451489686,252.08995257924067,35.0
61,CFIS_LSB.219.255.r,45071,10020,31134,0.6907767744225777,6992,10121.938459561894,138.02172933412396,37.5,61,CFIS_LSB.219.255.r,45071,58,31134,0.6907767744225777,37,53.56288944562216,138.02172933412396,37.5,61,CFIS_LSB.219.255.r,45071,2974,31134,0.6907767744225777,2081,3012.550619901073,138.02172933412396,37.5
62,CFIS_LSB.006.249.r,36639,10772,31362,0.855973143371817,9194,10740.991199540846,3.6402192302809415,34.5,62,CFIS_LSB.006.249.r,36639,35,31362,0.855973143371817,27,31.54304572412473,3.6402192302809415,34.5,62,CFIS_LSB.006.249.r,36639,3359,31362,0.855973143371817,2856,3336.55328104075,3.6402192302809415,34.5
63,CFIS_LSB.149.316.r,32988,9033,28272,0.8570389232448163,7778,9075.433786078098,198.8753036102741,68.0,63,CFIS_LSB.149.316.r,32988,52,28272,0.8570389232448163,37,43.17190152801358,198.8753036102741,68.0,63,CFIS_LSB.149.316.r,32988,2982,28272,0.8570389232448163,2528,2949.6910016977927,198.8753036102741,68.0
64,CFIS_LSB.222.242.r,35346,12579,32180,0.91042833701126,11461,12588.580049720324,129.49630709090167,31.0,64,CFIS_LSB.222.242.r,35346,57,32180,0.91042833701126,37,40.64021131137352,129.49630709090167,31.0,64,CFIS_LSB.222.242.r,35346,4149,32180,0.91042833701126,3765,4135.41609695463,129.49630709090167,31.0
65,CFIS_LSB.379.272.r,37713,9794,31019,0.8225015246731896,8090,9835.848028627615,272.7959642590751,46.0,65,CFIS_LSB.379.272.r,37713,47,31019,0.8225015246731896,23,27.96347399980657,272.7959642590751,46.0,65,CFIS_LSB.379.272.r,37713,3112,31019,0.8225015246731896,2574,3129.4774815435703,272.7959642590751,46.0
66,CFIS_LSB.105.333.r,30677,10701,27754,0.904716888874401,9705,10727.112668444188,224.8920224108872,76.5,66,CFIS_LSB.105.333.r,30677,30,27754,0.904716888874401,17,18.79040858975283,224.8920224108872,76.5,66,CFIS_LSB.105.333.r,30677,3556,27754,0.904716888874401,3184,3519.3329970454706,224.8920224108872,76.5
67,CFIS_LSB.151.279.r,32662,10612,29231,0.8949543812381361,9600,10726.80373575998,116.25256276328868,49.5,67,CFIS_LSB.151.279.r,32662,58,29231,0.8949543812381361,45,50.281892511374906,116.25256276328868,49.5,67,CFIS_LSB.151.279.r,32662,3393,29231,0.8949543812381361,3063,3422.520816940919,116.25256276328868,49.5
68,CFIS_LSB.425.257.r,33403,8419,17722,0.53055114810047,4272,8052.004062746869,271.5279647156473,38.5,68,CFIS_LSB.425.257.r,33403,36,17722,0.53055114810047,8,15.078659293533462,271.5279647156473,38.5,68,CFIS_LSB.425.257.r,33403,3257,17722,0.53055114810047,1452,2736.776661776323,271.5279647156473,38.5
69,CFIS_LSB.228.306.r,39321,12452,33420,0.8499275196459907,10525,12383.408886894076,251.1065761627204,63.0,69,CFIS_LSB.228.306.r,39321,51,33420,0.8499275196459907,35,41.17998204667864,251.1065761627204,63.0,69,CFIS_LSB.228.306.r,39321,4086,33420,0.8499275196459907,3464,4075.641651705565,251.1065761627204,63.0
70,CFIS_LSB.397.238.r,4545,1305,0,0.0,0,,226.95578247285405,29.0,70,CFIS_LSB.397.238.r,4545,7,0,0.0,0,,226.95578247285405,29.0,70,CFIS_LSB.397.238.r,4545,597,0,0.0,0,,226.95578247285405,29.0
71,CFIS_LSB.197.248.r,35406,12078,31512,0.8900186409083206,10801,12135.700875856815,118.81246792763469,34.0,71,CFIS_LSB.197.248.r,35406,82,31512,0.8900186409083206,61,68.5378903274943,118.81246792763469,34.0,71,CFIS_LSB.197.248.r,35406,3766,31512,0.8900186409083206,3373,3789.80826351866,118.81246792763469,34.0
72,CFIS_LSB.240.310.r,2877,876,0,0.0,0,,283.94418997829985,65.0,72,CFIS_LSB.240.310.r,2877,15,0,0.0,0,,283.94418997829985,65.0,72,CFIS_LSB.240.310.r,2877,390,0,0.0,0,,283.94418997829985,65.0
73,CFIS_LSB.402.264.r,38205,10230,31905,0.8351001177856302,8528,10211.94922425952,270.4721786508816,42.0,73,CFIS_LSB.402.264.r,38205,48,31905,0.8351001177856302,27,32.33145275035261,270.4721786508816,42.0,73,CFIS_LSB.402.264.r,38205,3280,31905,0.8351001177856302,2741,3282.241184767277,270.4721786508816,42.0
74,CFIS_LSB.413.259.r,38805,11517,32316,0.832779281020487,9518,11429.198848867434,267.61718644757,39.5,74,CFIS_LSB.413.259.r,38805,55,32316,0.832779281020487,28,33.62235425176383,267.61718644757,39.5,74,CFIS_LSB.413.259.r,38805,3766,32316,0.832779281020487,3118,3744.0893056071295,267.61718644757,39.5
75,CFIS_LSB.072.331.r,21860,10064,5613,0.2567703568161025,2640,10281.560662747192,143.7814498643922,75.5,75,CFIS_LSB.072.331.r,21860,54,5613,0.2567703568161025,6,23.36718332442544,143.7814498643922,75.5,75,CFIS_LSB.072.331.r,21860,4467,5613,0.2567703568161025,992,3863.374309638339,143.7814498643922,75.5
76,CFIS_LSB.601.233.r,39373,10026,30691,0.779493561577731,7870,10096.298914991365,335.7788156240576,26.5,76,CFIS_LSB.601.233.r,39373,65,30691,0.779493561577731,20,25.65768466325633,335.7788156240576,26.5,76,CFIS_LSB.601.233.r,39373,3151,30691,0.779493561577731,2465,3162.3096347463425,335.7788156240576,26.5
77,CFIS_LSB.234.256.r,36174,10272,31070,0.8589041853264776,8857,10311.976762149983,148.4751311634917,38.0,77,CFIS_LSB.234.256.r,36174,41,31070,0.8589041853264776,28,32.59967814612166,148.4751311634917,38.0,77,CFIS_LSB.234.256.r,36174,3165,31070,0.8589041853264776,2756,3208.739748953975,148.4751311634917,38.0
